date,hours_worked,focus_hours,meetings,tasks_completed,breaks_taken,productivity_score
2026-01-01,8.4,4.64,4,10,2,81.82
2026-01-02,7.89,4.43,1,7,9,77.52
2026-01-03,8.52,5.98,1,8,5,92.85
2026-01-04,9.22,5.28,3,6,10,87.39
2026-01-05,7.81,6.21,6,7,5,83.1
2026-01-06,7.81,5.97,2,10,3,99.89
2026-01-07,9.26,5.43,5,7,0,76.44
2026-01-08,8.61,4.65,2,11,4,93.44
2026-01-09,7.62,3.99,1,8,4,85.89
2026-01-10,8.43,5.05,7,7,1,83.97
2026-01-11,7.63,6.36,8,8,3,84.17
2026-01-12,7.63,5.71,0,8,4,99.9
2026-01-13,8.19,4.25,3,3,7,69.98
2026-01-14,6.47,5.67,6,4,4,84.49
2026-01-15,6.62,5.89,1,8,3,93.67
2026-01-16,7.55,4.62,9,9,1,76.71
2026-01-17,7.19,5.65,3,8,5,89.82
2026-01-18,8.25,5.56,3,8,7,88.21
2026-01-19,7.27,4.36,6,9,4,78.05
2026-01-20,6.87,5.86,2,7,4,93.96
2026-01-21,9.17,6.06,0,11,1,100.0
2026-01-22,7.82,6.58,4,10,8,99.43
2026-01-23,8.05,6.55,0,10,4,100.0
2026-01-24,6.86,4.12,3,9,1,87.49
2026-01-25,7.56,4.56,5,6,1,78.93
2026-01-26,8.09,6.02,5,5,2,79.69
2026-01-27,7.08,6.01,4,9,4,89.03
2026-01-28,8.3,6.02,1,6,0,96.43
2026-01-29,7.52,7.52,1,5,7,100.0
2026-01-30,7.77,6.07,1,8,4,100.0
2026-01-31,7.52,6.64,2,9,7,98.15
2026-02-01,9.48,6.45,3,12,6,99.81
2026-02-02,7.99,6.15,1,8,5,88.88
2026-02-03,7.15,5.18,1,14,7,100.0
2026-02-04,8.66,6.26,1,3,6,91.81
2026-02-05,7.02,4.73,2,6,8,80.22
2026-02-06,8.17,5.26,3,8,4,89.79
2026-02-07,6.43,5.01,2,10,2,92.5
2026-02-08,6.94,5.58,2,4,8,86.29
2026-02-09,8.16,7.81,3,6,6,94.73
2026-02-10,8.59,3.63,2,9,2,78.97
2026-02-11,8.14,6.19,4,7,5,74.14
2026-02-12,7.91,3.89,4,11,4,80.42
2026-02-13,7.76,5.03,1,11,3,87.41
2026-02-14,6.82,6.59,2,8,4,100.0
2026-02-15,12.0,2.0,9,3,3,100.0
2026-02-16,7.63,4.42,2,8,3,85.84
2026-02-17,8.85,4.78,3,5,6,83.83
2026-02-18,8.27,6.18,2,5,3,84.1
2026-02-19,6.59,4.77,4,12,3,100.0
2026-02-20,8.26,5.72,3,7,3,92.29
2026-02-21,7.69,5.55,4,13,5,96.1
2026-02-22,7.46,4.85,1,6,3,90.43
2026-02-23,8.49,7.64,1,7,4,99.24
2026-02-24,8.82,6.13,1,12,3,99.58
2026-02-25,8.75,3.47,2,8,3,72.16
2026-02-26,7.33,5.69,2,12,6,98.17
2026-02-27,7.75,4.84,5,3,4,64.96
2026-02-28,8.27,6.35,5,9,7,98.18
2026-03-01,8.78,4.71,2,6,0,78.49
2026-03-02,7.62,5.39,2,6,6,88.03
2026-03-03,7.85,6.0,3,8,3,89.41
2026-03-04,7.11,6.37,2,8,4,88.78
2026-03-05,7.04,4.3,1,6,3,82.88
2026-03-06,8.65,5.17,2,5,5,71.62
2026-03-07,9.08,5.03,5,9,3,81.2
2026-03-08,7.94,4.85,5,11,2,79.17
2026-03-09,8.8,7.27,3,7,1,100.0
2026-03-10,8.29,5.9,4,9,4,95.46
2026-03-11,7.48,4.24,1,4,9,76.98
2026-03-12,8.29,6.42,3,4,2,92.81
2026-03-13,9.23,7.62,4,6,6,91.28
2026-03-14,7.97,6.53,3,4,5,90.49
2026-03-15,9.25,3.98,3,10,3,80.99
2026-03-16,5.9,5.02,3,10,3,93.57
2026-03-17,8.66,6.77,3,9,2,100.0
2026-03-18,8.07,4.79,5,15,4,97.1
2026-03-19,7.76,5.94,3,7,3,91.41
2026-03-20,8.07,6.27,5,13,1,91.54
2026-03-21,6.41,4.57,2,5,5,75.6
2026-03-22,7.82,5.44,2,10,4,93.73
2026-03-23,8.29,2.26,5,7,7,59.85
2026-03-24,9.18,4.48,3,11,4,79.9
2026-03-25,7.59,5.25,3,7,7,97.41
2026-03-26,7.35,4.25,3,10,4,92.32
2026-03-27,7.6,7.13,6,9,3,99.54
2026-03-28,8.73,4.07,6,12,0,79.75
2026-03-29,8.26,5.06,3,5,4,77.96
2026-03-30,7.58,5.63,5,6,1,77.29
2026-03-31,8.41,6.94,2,8,3,100.0
2026-04-01,8.08,4.06,4,11,3,83.62
2026-04-02,8.77,6.66,3,5,2,83.27
2026-04-03,7.44,5.51,2,6,5,89.08
2026-04-04,7.74,4.52,4,7,5,77.25
2026-04-05,7.69,5.96,1,10,5,90.67
2026-04-06,6.83,5.7,3,7,3,85.35
2026-04-07,8.24,4.9,1,8,4,85.88
2026-04-08,8.21,5.57,3,9,0,100.0
2026-04-09,8.0,5.11,3,7,3,86.58
2026-04-10,7.81,5.61,1,7,3,84.9
2026-04-11,4.0,1.0,8,2,8,99.26
2026-04-12,7.66,7.09,4,11,4,96.37
2026-04-13,7.73,4.26,2,12,4,95.66
2026-04-14,7.36,7.36,5,8,4,96.11
2026-04-15,7.87,3.55,0,11,2,86.56
2026-04-16,8.32,5.35,3,5,5,87.58
2026-04-17,9.51,6.09,2,10,2,89.92
2026-04-18,8.14,5.78,0,9,5,91.27
2026-04-19,8.21,4.88,2,9,3,84.91
2026-04-20,7.94,5.29,2,7,4,92.32
2026-04-21,6.46,5.01,4,9,6,79.75
2026-04-22,7.98,4.91,2,12,3,80.25
2026-04-23,8.05,6.35,1,7,9,94.12
2026-04-24,9.97,5.86,1,10,4,98.8
2026-04-25,7.85,4.81,0,7,4,93.88
2026-04-26,8.24,6.4,2,4,1,86.12
2026-04-27,7.97,5.81,4,9,7,88.64
2026-04-28,7.07,6.31,3,4,4,93.36
2026-04-29,8.91,6.13,5,7,4,76.19
2026-04-30,8.6,4.67,5,15,4,89.85
2026-05-01,8.63,4.94,3,10,3,88.58
2026-05-02,7.27,6.25,4,5,1,89.07
2026-05-03,9.12,6.11,1,7,3,90.54
2026-05-04,6.88,5.48,3,3,9,80.21
2026-05-05,8.47,5.62,4,3,2,64.18
2026-05-06,9.75,6.78,4,8,7,89.52
2026-05-07,7.21,4.91,3,9,2,89.82
2026-05-08,7.55,6.05,2,8,5,90.1
2026-05-09,8.08,5.3,2,4,0,81.26
2026-05-10,7.6,5.28,3,6,3,85.81
2026-05-11,6.76,6.6,3,7,9,94.34
2026-05-12,8.05,6.33,4,7,6,91.05
2026-05-13,7.15,6.31,0,4,8,88.66
2026-05-14,8.38,6.81,2,5,5,92.04
2026-05-15,7.26,5.52,4,13,5,100.0
2026-05-16,9.24,6.18,2,11,5,100.0
2026-05-17,7.37,5.19,4,4,2,74.34
2026-05-18,7.74,5.82,3,8,9,92.28
2026-05-19,8.65,5.37,2,6,5,88.19
2026-05-20,7.02,5.6,3,4,1,72.41
2026-05-21,8.18,6.1,7,5,4,84.19
2026-05-22,9.05,4.68,3,12,5,87.52
2026-05-23,6.71,6.71,5,9,3,99.05
2026-05-24,8.15,4.49,8,7,5,75.22
2026-05-25,8.21,4.29,1,11,3,82.83
2026-05-26,8.63,6.66,2,10,4,98.12
2026-05-27,7.01,6.29,2,11,3,100.0
2026-05-28,6.94,6.12,1,13,1,100.0
2026-05-29,8.42,6.13,3,9,5,100.0
2026-05-30,8.24,5.49,4,7,3,79.77
2026-05-31,11.0,8.0,0,18,2,77.14
2026-06-01,8.28,5.58,7,8,2,81.64
2026-06-02,7.46,4.82,6,9,4,74.57
2026-06-03,8.19,6.48,2,6,2,91.07
2026-06-04,8.23,5.35,2,7,4,88.71
2026-06-05,7.43,4.67,1,7,3,83.91
2026-06-06,9.49,5.18,0,10,2,93.54
2026-06-07,8.38,5.91,4,10,3,90.18
2026-06-08,7.05,4.94,3,6,10,74.41
2026-06-09,8.53,4.68,4,4,4,73.56
2026-06-10,7.22,5.74,5,4,5,88.15
2026-06-11,8.63,5.74,1,4,3,85.36
2026-06-12,8.93,4.99,1,9,4,90.69
2026-06-13,7.34,5.03,2,7,4,89.65
2026-06-14,8.77,5.73,6,11,3,82.62
2026-06-15,8.33,4.05,3,8,6,86.38
2026-06-16,8.66,4.09,3,12,3,86.67
2026-06-17,9.52,4.78,2,10,5,95.35
2026-06-18,7.8,5.29,6,4,3,69.64
2026-06-19,7.4,5.81,1,3,0,94.67
2026-06-20,7.29,6.98,3,5,6,97.77
2026-06-21,7.35,6.36,1,10,3,100.0
2026-06-22,7.94,5.34,2,5,2,84.64
2026-06-23,8.27,5.48,4,4,5,76.71
2026-06-24,8.22,4.5,5,10,6,87.15
2026-06-25,8.66,5.48,8,6,1,74.08
2026-06-26,8.01,5.21,2,10,6,82.63
2026-06-27,9.16,5.82,2,11,2,91.43
2026-06-28,7.79,4.67,4,5,2,74.1
2026-06-29,10.18,6.02,0,8,2,96.42
2026-06-30,8.5,7.03,4,6,3,92.2
